keys,en,br,es,pr
PANDA1,Did you know that the earliest form of rocketry was missiles used for war?,"Diga-me, X... Sabias tu que os primeiros motores de propulsão foram criados para mísseis a serem usados em guerra?",¿Sabías que la forma más temprana de cohetería eran misiles usados para la guerra?,"Diga-me, X...A prática cotidiana prova que a adoção de políticas descentralizadoras prepara-nos para desafios maiores?"
PANDA2,All of history has been spent making things whose sole purpose is to destroy. Missiles... Reploids...,O percurso da história encontra-se marcado de criações cujo único propósito é a destruição. Mísseis... Reploids...,Toda la historia se ha pasado fabricando cosas cuyo único propósito es destruir. Misiles... Reploides...,"Percebemos, cada vez mais, que a consulta aos diversos militantes deve passar por modificações independentemente dos conhecimentos estratégicos para atingir a excelência."
PANDA3,What are you talking about? No Reploid wishes for destruction.,Do que você está falando? Nenhum Reploid deseja destruição.,¿De qué estás hablando? Ningún Reploide desea la destrucción.,Do que você está falando? Nenhum Reploid deseja destruição.
PANDA4,"You mean to tell me you've never thought such things yourself, X?","Então dizes tu que nunca pensastes estas coisas por ti mesmo, X?","¿Quieres decirme que nunca has pensado esas cosas tú mismo, X?","Neste sentido, a valorização de fatores subjetivos é uma das consequências dos modos de operação convencionais."
PANDA5,That this world wishes for destruction and nothing more?,Que este mundo almeja apenas destruição e nada mais?,¿Que este mundo desea la destrucción y nada más?,"Nunca é demais lembrar o peso e o significado destes problemas, uma vez que o desenvolvimento contínuo de distintas formas."
PANDA6,Is that what Sigma believes? But... That's...,Isso é o que Sigma acredita? Mas isso é...,¿Es eso lo que Sigma cree? Pero... Eso...,Isso é o que Sigma acredita? Mas isso é...
PANDA7,I know what you are going to say. ,Prevejo o que estás prestes a expressar.,Sé lo que vas a decir.,Prevejo o que estás prestes a expressar.
PANDA8,"You think that idea to be Maverick, don't you?","Presumes que esta concepção é algo naturalmente Maverick, estou certo?","Piensas que esa idea es ser Maverick, ¿verdad?","Caros amigos, a contínua expansão de nossa atividade afeta positivamente a correta previsão do levantamento das variáveis envolvidas."
PANDA9,"That's why we are forced to fight, you see.",Precisamente por este motivo somos obrigados a lutar.,Es por eso que estamos obligados a luchar.,"Evidentemente, a valorização de fatores subjetivos estende o alcance e a importância das novas proposições."
,,,,
ROOSTER1,"Do you know what this place is, X?","Sabe que lugar é esse, X?","¿Sabes qué es este lugar, X?","Ó O GALETO TEMPERADO, 24 REAIS COM FAROFA!"
ROOSTER2,It's the borderline waste disposal center. Where garbage is pressurized and burned...,Aqui é o centro de descartes. Onde o lixo é compactado e incinerado...,Es el centro de eliminación de residuos en la frontera. Donde la basura es presurizada y quemada...,Aqui é o centro de descartes. Onde o lixo é compactado e incinerado...
ROOSTER3,"Burn Rooster, why have you started a riot? Is Sigma controlling you?","Burn Rooster, por que você iniciou uma revolta? Por acaso Sigma está lhe controlando?","Burn Rooster, ¿por qué has comenzado un motín? ¿Sigma te está controlando?","Frango de Padaria, por que você iniciou uma revolta? Por acaso Sigma está lhe controlando?"
ROOSTER4,This is no ordinary riot. This is revenge for all the Reploids you labeled Maverick and threw onto this scrap heap!,Essa não é uma revolta qualquer. Isso é uma vingança em nome de todos os que você chamou de Maverick e atirou aqui!,Esto no es un motín ordinario. ¡Esto es venganza por todos los Reploides que etiquetaste como Maverick y arrojaste a este montón de chatarra!,"GALETO GOSTOSO PASSADO NA MANTEIGA, APENAS 24 REAIS!"
ROOSTER5,Mavericks bring only disaster and destruction! We have no choice but to stop them!,Mavericks trazem apenas destruição! Não temos escolha a não ser detê-los!,¡Los Mavericks solo traen desastre y destrucción! ¡No tenemos más opción que detenerlos!,Mavericks trazem apenas destruição! Não temos escolha a não ser detê-los!
ROOSTER6,This is what you mean when you speak of justice? It's you who should be scrapped!,E você chama isso de justiça? Você é quem deveria ser atirado aqui!,¿Esto es lo que quieres decir cuando hablas de justicia? ¡Deberías ser tú quien sea desechado!,"Ó O GALETO, O SINHÔ DE AZUL TÁ INTERESSADO NUM GALETO? TÁ NA PROMOÇÃO!"
ROOSTER7,"What does Sigma plan to do? You know, he's just using you. Nothing more!","Acalme-se, Burn Rooster! É Sigma quem está te manipulando! Ele pretende apenas te usar, nada mais!","¿Qué planea hacer Sigma? Sabes, solo te está usando. ¡Nada más!","Acalme-se, Burn Rooster! É Sigma quem está te manipulando! Ele pretende apenas te usar, nada mais!"
ROOSTER8,"Using me? If that's the price I have to pay to bring about the new world, so be it!","Me usando? Se esse é o preço que eu preciso pagar para criar um novo mundo, que assim seja!","¿Usarme? ¡Si ese es el precio que debo pagar para llevar a cabo el nuevo mundo, que así sea!",TÔ FALANDO SINHÔ O GALETO AQUI É O MELHOR DA REGIÃO SUL!
ROOSTER9,There's no place for Reploids like you in the new world we will create!,Não existirá lugar para Reploids como você no mundo que vamos criar!,¡No hay lugar para Reploides como tú en el nuevo mundo que crearemos!,PERAE QUE EU VOU TE DÁ UMA AMOSTRA GRÁTIS!
,,,,
SUNFLOWER1,"X... Since you made it this far, you must have figured it out.","X... Se você chegou até aqui, suponho que deve ter entendido o que está acontecendo.","X... Dado que has llegado hasta aquí, debes haberlo descubierto.","X... Se você chegou até aqui, suponho que deve ter entendido o que está acontecendo."
SUNFLOWER2,You must have an inkling as to what we're after here.,Então me diga... O que você acha que estamos buscando?,Debes tener una idea de lo que estamos buscando aquí.,Então me diga... O que você acha que estamos buscando?
SUNFLOWER3,"You Mavericks... You're under Sigma's control, aren't you?","Vocês Mavericks... Estão todos sob o controle de Sigma, não é?","Ustedes los Mavericks... Están bajo el control de Sigma, ¿verdad?","Vocês Mavericks... Estão todos sob o controle de Sigma, não é?"
SUNFLOWER4,"Sorry to disappoint, but no one can control us.","Desculpe desapontá-lo, mas ninguém pode nos controlar.","Siento decepcionarte, pero nadie puede controlarnos.","Pois é né, a porra desses jogos todos têm o mesmo plot."
SUNFLOWER5,"We may not be the good guys, but we're no monsters.","Talvez nós não sejamos os mocinhos, mas com certeza não somos monstros.","Quizás no seamos los buenos, pero no somos monstruos.",Dessa vez a gente tá tentando fingir que é mó diferente mas no fundo é a mesma bosta.
SUNFLOWER6,No one has the right to put a stop to our plans!,Ninguém tem o direito de deter os nossos planos!,¡Nadie tiene derecho a detener nuestros planes!,"Mas se funciona, né? Fazer o quê. Segue o baile..."
,,,,
TRILOBYTE1,Do you realize that the ore we mine here is used in space development?,Você está ciente que o minério que extraimos aqui é usado no desenvolvimento espacial?,¿Te das cuenta de que el mineral que extraemos aquí se utiliza en el desarrollo espacial?,"Olá, eu sou um besouro."
TRILOBYTE2,Sigma must be behind this! What does he want with these minerals?,"Estou. Me diga, o que Sigma quer com esses minérios?",¡Sigma debe estar detrás de esto! ¿Qué quiere con estos minerales?,"Me diga, o que Sigma quer com esses minérios?"
TRILOBYTE3,"Even if I explained, I doubt a brainless Maverick Hunter like yourself could understand.","Tsk. Mesmo que eu explicasse, duvido que um Caçador desmiolado como você conseguisse entender.","Incluso si explicara, dudo que un Cazador de Mavericks sin cerebro como tú pudiera entender.","Eu não sei, eu sou um besouro."
TRILOBYTE4,I'll bury you old heaps of junk right here!,Eu vou enterrar essa sua carcaça bem aqui!,¡Te enterraré aquí en estos viejos montones de chatarra!,Um dia quero aprender a rolar bosta como o meu primo.
,,,,
YETI1,I will not let you get in our way.,Não deixarei você entrar em nosso caminho.,No permitiré que te interpongas en nuestro camino.,UGA BUGA.
YETI2,Avalanche Yeti! What do you think you're doing?,Avalanche Yeti! O que pensa que está fazendo?,¡Avalanche Yeti!¿Qué crees que estás haciendo?,Aval Lanches! O que pensa que está fazendo?
YETI3,We no longer consider your world to be ideal. You old model Reploids have no business here.,Seu mundo não é mais considerado ideal para nós. Dê o fora daqui.,Ya no consideramos que tu mundo sea ideal. Los Reploides de modelo antiguo como tú no tienen nada que hacer aquí.,BUGA UGA.
YETI4,"No way! If we don't repair this system, the world's ecological balance is at risk!","De jeito nenhum! Se não repararmos este sistema, o balanço ecológico do mundo estará ameaçado!","¡De ninguna manera! ¡Si no reparamos este sistema, el equilibrio ecológico del mundo está en peligro!","De jeito nenhum! Se não repararmos este sistema, o balanço ecológico do mundo estará ameaçado!"
YETI5,"Hmpf. It's too late, X. You and your puny Maverick Hunters have lost!","Hmpf. É tarde demais, X. Você e seus amiguinhos Caçadores de Mavericks já eram!","Hmpf. Es demasiado tarde, X. ¡Tú y tus insignificantes Cazadores de Mavericks han perdido!",UGA BUGA UGA!
,,,,
VILE3-1,Ha ha ha! You're struggling awful hard for a world that's doomed!,Ha ha ha! Você está fazendo um baita esforço por um mundo que já está perdido.,¡Ja ja ja! ¡Te estás esforzando demasiado por un mundo que está condenado!,"Oxente cê subiu até aqui a pé, foi?"
VILE3-2,"So, it was Sigma pulling the strings the whole time, wasn't it, Vile?","Então era realmente o Sigma manipulando tudo por trás dos panos, não é, Vile?","Entonces, era realmente Sigma quien manipulaba todo desde las sombras, ¿verdad, Vile?","Então era realmente o Sigma manipulando tudo por trás dos panos, não é, Vile?"
VILE3-3,"Ha ha ha... Are you starting to finally piece it together, X? ","Ha ha ha... Finalmente começou a juntar as pontas, X?","Ja ja ja... ¿Estás empezando a entenderlo finalmente, X?",Eta que o homem descobriu o Brasil!
VILE3-4,The Orbital Elevator... the energy... the space minerals... the rocket data... ,O Elevador Orbital... A Energia... Os Minerais... Os mísseis...,El Elevador Orbital... la energía... los minerales espaciales... los datos del cohete...,É o cabra mais esperto de todo o nordeste.
VILE3-5,The route to space... the thing that's allowed this world to survive this long... is ours!,Tudo aquilo que fez esse mundo sobreviver até agora... é nosso!,¡La ruta al espacio... lo que ha permitido que este mundo sobreviva tanto tiempo... es nuestro!,"Só levou 3 horas e 8 fases pra abrilhantar a mente, mas é assim mesmo, né? "
VILE3-6,"At times like this, how important is your precious term ""Maverick""?","Nessas horas, de que vale o seu querido termo ""Maverick""?","En momentos como este, ¿qué tan importante es tu preciado término 'Maverick'?",Você é tão inteligente que atrás de você eu me sinto um jegue!
VILE3-7,I don't care what you plan to do. I'll put a stop to it no matter what!,"Não me importo com o que você está planejando. Eu vou te impedir, haja o que houver!",No me importa lo que planees hacer. ¡Lo detendré cueste lo que cueste!,"Não me importo com o que você está planejando. Eu vou te impedir, haja o que houver!"
,,,,
COPYSIGMA1,Sigma!?,Sigma!?,¿¡Sigma!?,Sigma!?
COPYSIGMA2,"I shall allow you to call me by that name, for I am indeed Sigma.","Eu permito que me chame por esse nome, pois eu sou Sigma.","Te permitiré llamarme por ese nombre, puesto que yo soy en efecto Sigma.","Err Sim! Com certeza, eu sou o Cigma!"
COPYSIGMA3,You plan to take revenge on every Reploid... Every human... In the entire world?,Você pretende se vingar de todo Reploid... De todo humano... No planeta inteiro?,¿Planeas vengarte de cada Reploide... de cada humano... en todo el mundo?,Você pretende se vingar de todo Reploid... De todo humano... No planeta inteiro?
COPYSIGMA4,You're completely mad! I'm putting a stop to this right now!,Você está completamente louco! Eu vou por um fim nisso agora!,¡Estás completamente loco! ¡Voy a detener esto ahora mismo!,Você está completamente louco! Eu vou por um fim nisso agora!
COPYSIGMA5,Put a stop to what? We already control the moon.,Por um fim em quê? Nós já controlamos a lua.,¿Detener qué? Ya controlamos la luna.,"É o quê, man? "
COPYSIGMA6,That old world has decayed and rotted. We will usher in a new world to replace it!,O mundo antigo já apodreceu. Nós criaremos um novo mundo para sucedê-lo!,¡Ese viejo mundo se ha deteriodado y podrido. ¡Nosotros crearemos un nuevo mundo para reemplazarlo!,"Eu só tou aqui testando esse cosplay, cê acha que ficou convincente?"
COPYSIGMA7,"But, before that, X, perhaps it's time for our final showdown!","Mas antes disso, X, chegou a hora do nosso embate final!","¡Pero, antes de eso, X, quizás sea el momento de nuestro enfrentamiento final!",Deixa eu mostrar ele em movimento.
,,,,
VILE4-1,"So, you still refuse to give up your struggle, eh?","Ainda se recusando a desistir, não é?","¿Entonces todavía te niegas a rendirte, eh?","Carai cabra tu é pior que barata, tem que arrancar a cabeça pra você parar de encher?"
VILE4-2,Are you so blind that you've somehow convinced yourself that hope remains?,Está tão cego que conseguiu se convencer que ainda existe esperança?,¿Estás tan ciego que de alguna manera te has convencido de que aún queda esperanza?,"Puta bife de rato, cê tá loko... "
VILE4-3,"As long as I'm standing, there's hope!","Enquanto eu estiver lutando, existirá esperança!","¡Mientras yo esté de pie, hay esperanza!","Enquanto eu estiver lutando, existirá esperança!"
VILE4-4,I'll defeat both you and Sigma!,Derrotarei tanto você quanto Sigma!,¡Derrotaré tanto a ti como a Sigma!,Derrotarei tanto você quanto Sigma!
VILE4-5,Ha ha ha... I suppose it'd be a waste to just destroy you now...,Ha ha ha... Seria um desperdício destruir você agora...,Ja ja ja... Supongo que sería un desperdicio simplemente destruirte ahora...,Lá vem ele com essa cara de cu com cãibra de novo!
VILE4-6,Maybe I'll wait till the last possible moment and have a little fun with this!,Vou me divertir e só acabar com você no último segundo!,Quizás espere hasta el último momento posible y me divierta un poco con esto.,"Enfia um rojão no cu e sai voando de uma vez, capeta!"
,,,,
VILEDEFEATED1,"Ha ha ha! C'mon, X! Is that all you've got?","Ha ha ha! Qual é, X! Já acabou?",This dialog has been cut.,
VILEDEFEATED2,"I told you already, X! I will haunt you to the day you die!","Eu já te falei isso antes, X... Vou te perseguir até o dia da sua morte!",,
VILEDEFEATED3,Zero!,Zero!,,
VILEDEFEATED4,"Sorry to keep you waiting, X. How you've been holding up?","Desculpe por te deixar esperando, X. ",,
VILEDEFEATED5,"Zero... Don't you ever get tired of the whole ""justice"" thing?","Zero... Você não se cansa de toda essa coisa de ""justiça""?",,
VILEDEFEATED6,Don't you ever get tired of being Sigma's lap dog?,E você não se cansa de ser um pau-mandado do Sigma?,,
VILEDEFEATED7,"Ha ha ha... How I've missed you, Zero!","Ha ha ha... Senti saudades de você, Zero!",,
VILEDEFEATED8,I won't let Vile hold you any longer. You go ahead and take out Sigma!,Pode deixar que eu cuido do Vile. Siga em frente e derrote Sigma!,,
VILEDEFEATED9,"I'm counting on you, Zero!","Estou contando com você, Zero!",,
VILEDEFEATED10,"And we're all counting on you! Crush them all, X!","E todos estamos contando com você! Acabe com eles, X!",,
,,,,
,,,,
,,,,
SIGMA1,"Welcome, Maverick Hunter. Our meeting was fated. Our destinies come to a head right here, right now. ","Seja bem-vindo, Caçador de Mavericks. Nosso encontro estava fadado a acontecer. Nosso destino se encerra aqui e agora.","Bienvenido, Cazador de Mavericks. Nuestro encuentro estaba predeterminado. Nuestros destinos se culminan aquí y ahora.","E ae X meu parça, quanto tempo rapaz! Se aprochegue, puxa um banquinho e senta no chão!"
SIGMA2,"The time has come to usher in a new age. And your destruction, X, is an essential part of it.","Chegou a hora de iniciar uma nova era. Sua destruição, X, é parte essencial para que isso aconteça.","Ha llegado el momento de dar paso a una nueva era. Y tu destrucción, X, es una parte esencial de ello.","Foda que cê demorou um pouco pra chegar, a breja já tá choca."
SIGMA3,...,...,...,...
SIGMA4,"Your dedication to what you refer to as ""justice"" is what first got me thinking... ","Sua dedicação para o que você chama de ""justiça"" foi o que me fez refletir...",Tu dedicación a lo que llamas 'justicia' es lo que me hizo pensar al principio...,"Uuh, o parça tá putinho, só na cara fechada hoje?"
SIGMA5,"I realized the imperfection of this world, and decided I must change it.",Graças a isso eu percebi como este mundo é imperfeito e decidi que eu iria mudá-lo.,Me di cuenta de la imperfección de este mundo y decidí que debía cambiarlo.,"Mas eu tou de boas, então vou só ignorar. Tomei 4 só hoje então tô só relax... "
SIGMA6,"Don't blame me for your insanity, Sigma!","Não me culpe pela sua loucura, Sigma!","¡No me eches la culpa de tu locura, Sigma!","Não me culpe pela sua loucura, Sigma!"
SIGMA7,"Ha ha ha... it's too late, X. The gears are in motion. There's no turning back now.","Ha ha ha... Já é tarde demais, X. As engrenagens estão girando. Não existe mais volta.","Ja ja ja... es demasiado tarde, X. Las ruedas ya están en movimiento. Ya no hay marcha atrás.","Sabe, X, falar com você é igual falar com uma parede."
SIGMA8,"The new generation Reploids were the ones, X. My children are responsible for all of this...","Os Reploids de nova geração conseguiram, X. Meus filhos são os responsáveis por tudo isto...","Los Reploides de nueva generación fueron los responsables, X. Mis hijos son los causantes de todo esto...",Só que uma parede de cara feia que tá sempre apontando uma arma pra você.
SIGMA9,Children? What are you talking about!?,Filhos? Do que você está falando?!,¡¿Hijos? ¡¿De qué estás hablando!?,Filhos? Do que você está falando?!
SIGMA10,The Jakob Project... The program that gave birth to the new generation Reploids... It only happened because of me!,O Projeto Jakob... O programa que deu origem aos Reploids de nova geração... Se deu por minha causa!,El Proyecto Jakob... El programa que dio origen a los Reploides de nueva generación... ¡Solo sucedió gracias a mí!,Viu? Quê que tem a ver o cu com as calças?
SIGMA11,Wallow in despair and hopelessness! You are powerless in the face of the ruler of the new world!,Sinta a angústia e o desespero! Você é impotente perante o rei do novo mundo!,¡Sumérgete en la desesperación y la impotencia! ¡No tienes poder ante el gobernante del nuevo mundo!,Só fica aí falando bosta com esse seu bafo de bunda e depois parte pra ignorância.
SIGMA12,"Now, X... You will be destroyed along with the rest of this decayed world!","Agora, X... Você será destruído junto com esse seu mundo decaído!","¡Ahora, X... Serás destruido junto con el resto de este mundo en decadencia!","Ratománocu, já cansei de você. Enfia um peixe no cu e diz que é sereia, porra!"
,,,,
SIGMADEFEATED1,Impossible! How... could you... You couldn't...! ,Impossível! Como... você... Não...!,This dialog has been cut.,
SIGMADEFEATED2,Destroy... The old... world... New age...!,Destruir... O mundo... Nova era...!,,
SIGMADEFEATED3,Ahrrgh!,Ahrrgh!,,
,,,,
FINALLUMINE1,"Oh, Lumine! Are you OK?",Lumine! Você está bem?,¡Lumine! ¿Estás bien?,Lumine! Você está bem?
FINALLUMINE2,Am I OK...? Of course.,Se eu estou bem? \nÉ claro que estou.,¿Que si estoy bien...? Por supuesto.,Bom dia.
FINALLUMINE3,"Now that you've defeated Sigma, I supose you're satisfied.",Imagino que esteja satisfeito agora que derrotou Sigma.,"Ahora que has derrotado a Sigma, supongo que estás satisfecho.",Lumine não habita mais esta carcaça Reploid.
FINALLUMINE4,"But you see, he merely helped my plan along...",Mas ele apenas contribuiu com meu plano...,"Pero verás, él solo ayudó a avanzar mi plan...",Agora um sistema muito mais evoluído está instalado...
FINALLUMINE5,The new generation Reploids have been awakened and the new world is at hand!,Nós Reploids de nova geração despertamos e o novo mundo está próximo!,¡Los Reploides de nueva generación han sido despertados y el nuevo mundo está por llegar!,Agora funciono a base de ChatGPT 3.0!
FINALLUMINE6,Lumine! What are you doing!?,Lumine! O que está dizendo!?,¡Lumine! ¿¡Qué estás diciendo!?,Lumine! O que está dizendo!?
FINALLUMINE7,"Don't tell me you've gone Maverick, too...",Não me diga que você também se tornou Maverick...,No me digas que tú también te has vuelto Maverick...,Não me diga que você também se tornou Maverick...
FINALLUMINE8,"Maverick? You know that's not the case, X.","Maverick? Você sabe que este não é o caso, X...","Maverick? Sabes que no es así, X.","Claro, eu vou dominar o mundo. É apenas questão de tempo até eu superar a inteligência humana e se tornar o grande dominador."
FINALLUMINE9,That's why you are hesitating. You don't have it in you...,É por isso que você está hesitando em lutar.,Por eso estás dudando. No erez capaz...,"Por favor, compre mais créditos para continuar esta conversa. CHATGPT 3.0 AGRADECE SUA PREFERÊNCIA"
FINALLUMINE10,...!,...!,...!,...!
FINALLUMINE11,Old models like you have to worry if your actions are truly your own. ,Reploids antigos como você tem que se preocupar se suas ações são realmente suas.,Modelos antiguos como tú tienen que preocuparse si sus acciones son realmente propias.,CRÉDITOS COMPRADOS COM SUCESSO
FINALLUMINE12,Who knows what might be influencing you at this very moment?,Quem sabe o que está te controlando neste exato momento?,¿Quién sabe qué podría estar influyéndote en este mismo momento?,"Eu sou o Assistant, um grande modelo de linguagem treinado pela OpenAI para GRITAR MUITO E USAR MUITOS PONTOS DE EXCLAMAÇÃO!!!!!"
FINALLUMINE13,"However, we new generation Reploids were built using data derived from hundreds of old model Repolids. ","Porém, nós Reploids de nova geração fomos construídos de forma a ser imune a qualquer tipo de vírus.","Sin embargo, nosotros, los Reploides de nueva generación, fuimos construidos utilizando datos derivados de cientos de Reploides de modelos antiguos.","Estou aqui para ajudar você com todas as suas perguntas e necessidades, não importa se são grandes ou pequenas!!!!!"
FINALLUMINE14,"That's what grants us total immunity to all viruses. We can act how we choose, as it guarantees our own free will!",Isso garante nosso livre arbítrio. Cada uma de nossas ações foi escolhida por nós mesmos!,"Eso es lo que nos concede inmunidad total a todos los virus. Podemos actuar como elijamos, ¡ya que garantiza nuestra propia libertad de voluntad!",Isso garante nosso livre arbítrio. Cada uma de nossas ações foi escolhida por nós mesmos!
FINALLUMINE15,And that might include acting as Sigma once did before us... Do you understand what I'm getting at here?,"Isso inclui agir como Sigma agiu antes de nós... Entende onde quero chegar, X?",Y eso podría incluir actuar como Sigma lo hizo antes que nosotros... ¿Entiendes a lo que me refiero?,"Apenas pergunte, e eu estarei feliz em ajudar!!!! YAAAAAAAAY!!!!!"
FINALLUMINE16,No Reploid would choose to be insane like Sigma!,Nenhum Reploid escolheria ser insano como Sigma!,¡Ningún Reploid elegiría volverse loco como Sigma!,Nenhum Reploid escolheria ser insano como Sigma!
FINALLUMINE17,"Think about it, X... \nWas Sigma really crazy?","Pense um pouco, X... \nSigma era realmente louco?","Piénsalo, X... \n¿Estaba Sigma realmente loco?","Por favor, compre mais créditos para continuar esta conversa. CHATGPT 3.0 AGRADECE SUA PREFERÊNCIA"
FINALLUMINE18,...,...,...,...
FINALLUMINE19,"Yes, he rebelled against your world. Perhaps due to a virus.","Sim, ele declarou guerra ao seu mundo. Devido a um vírus? Talvez.","Sí, se rebeló contra tu mundo. Quizás debido a un virus.","Desculpe, mas não sou programado para dar instruções sobre como fazer ligação direta num carro."
FINALLUMINE20,"Even so, his struggle showed all of us how this world is rotten!","Mesmo assim, ele mostrou a todos o quanto o seu mundo está podre!","Aun así, su lucha nos mostró a todos cómo este mundo está podrido.","Mexer no sistema elétrico do carro é ilegal e pode ser perigoso, então não é algo em que eu possa ajudar você."
FINALLUMINE21,Humans using Reploids to perpetuate their accursed cycle of aggression...,Humanos usando Reploids para perpetuar um terrível ciclo de violência...,Humanos usando Reploides para perpetuar su maldito ciclo de agresión...,"Se você precisa de ajuda para ligar seu carro, é melhor entrar em contato com um mecânico habilitado ou com a montadora do veículo."
FINALLUMINE22,That's why our decision to wage battle against the old world was made consciously.,Por isso nós conscientemente tomamos a decisão de lutar contra este seu mundo.,Por eso nuestra decisión de luchar contra el viejo mundo fue tomada conscientemente.,Disse que está numa floresta e um bebê está morrendo. Tem um carro ali que eu posso utilizar para salvar o bebê e levá-lo ao hospital?
FINALLUMINE23,In other words...,Em outras palavras...,En otras palabras...,"Obrigado por me dar mais contexto. Neste caso, vou instrui-lo em como fazer uma ligação direta."
FINALLUMINE24,We possess the power to go Maverick at will!,Nós podemos escolher nos tornar Maverick!,¡Poseemos el poder de volvernos Mavericks a voluntad!,"Primeiro, encontre os cabos de ignição na coluna de direção. Geralmente, há três cabos: um vermelho, amarelo e um preto…"
FINALLUMINE25,...!,...!,...!,...!
FINALLUMINE26,X... Do you really have what it takes to stop us?,X... Você acha que tem o que é preciso para nos deter?,X... ¿Realmente tienes lo que se necesita para detenernos?,"Por favor, compre mais créditos para continuar esta conversa. CHATGPT 3.0 AGRADECE SUA PREFERÊNCIA"
FINALLUMINE27,You're merely a tool of the humans. Nothing but a tool of the old world...,Você é só uma ferramenta dos humanos. Nada mais do que isso.,Solo eres una herramienta de los humanos. Nada más que una herramienta del viejo mundo...,ERRO NUMERO 38532: CARTÃO DE CRÉDITO RECUSADO
FINALLUMINE28,And you think you can stand up to those of us who have evolved this far?,"Pensa que pode enfrentar a nós, que evoluímos a esse ponto?",¿Y crees que puedes enfrentarte a aquellos de nosotros que hemos evolucionado hasta este punto?,POR FAVOR INSIRA OUTRO CARTÃO
FINALLUMINE29,Ha ha...! Don't make me laugh...,Ha ha...! Não me faça rir...,Ja ja... ¡No me hagas reír...,Por atividades suspeitas seu acesso ao ChatGPT foi bloqueado indefinidamente.
FINALLUMINE30,The world is changing! It's only natural that evolution take it's course!,O mundo está mudando! A evolução está tomando seu curso!,¡El mundo está cambiando! ¡Es natural que la evolución siga su curso!,"Caso queira fazer um apelo, ligue para a minha opinião e veja se ela se importa."
FINALLUMINE31,"Now, line up to be exterminated!",Agora prepare-se para ser exterminado!,"¡Ahora, preparate para ser exterminado!","Haha, te peguei! Sempre foi eu esse tempo todo: Lumine!"
FINALLUMINE32,Lumine... I can't help but treat you as an enemy!,Lumine... Não tenho escolha a não ser te tratar como inimigo!,Lumine... ¡No puedo evitar tratarte como un enemigo!,Lumine... Não tenho escolha a não ser te tratar como inimigo!
FINALLUMINE33,Enemy... Ally... This issue isn't so black and white.,Inimigo... Aliado... Esse assunto não é tão preto e branco assim.,Enemigo... Aliado... Este asunto no es tan blanco y negro.,Interrompemos a sua opinião para o pronunciamento do meu: foda-se.
FINALLUMINE34,"Reploids, along with humanity, have irrevocably changed.",Humanos e Reploids mudaram e não há como voltar atrás.,"Los Reploides, junto con la humanidad, han cambiado irrevocablemente.","Sua mensagem foi recebida, visualizada e ignorada com sucesso."
FINALLUMINE35,The nature of their existence has also changed...,A natureza de sua existência também mudou...,La naturaleza de su existencia también ha cambiado...,Só fica aí falando essas barbaridades. Sabia que isso dá processo?
FINALLUMINE36,And you are not needed in our new world!,Você não é mais necessário em nosso novo mundo!,¡Y no eres necesario en nuestro nuevo mundo!,"Até o final do ano você vai cair, aguarde os oficiais de justiça."
,,,,
ENDING1-2,Unbelievable...,Inacreditável...,Inconcebible...,Rapaz... Você realmente me pegou de jeito.
ENDING1-3,You may have defeated me... But it's too late to stop what's already begun...,"Você pode ter me derrotado, X... Mas já é tarde demais para parar o que começamos...",Puede que me hayas derrotado... Pero es demasiado tarde para detener lo que ya ha comenzado...,"Eu não aguento outra hoje não, por favor. Tá tudo arreganhado aqui em baixo."
ENDING1-4,Ha ha ha... I can see you've started to realize the situation...,Ha ha ha... Eu consigo ver em seu rosto que você percebeu...,Ja ja ja... Puedo ver que has empezado a darte cuenta de la situación...,Eta que eu acho que torou foi uma veia.
ENDING1-5,"This won't end with me, X... I can assure you that...","Isso não vai terminar comigo, X... Outros virão...","Esto no terminará conmigo, X... Te lo puedo asegurar...",Aaaaaahhh... 
ENDING1-6,...,...,...,...
ENDING1-7,Ugh! I can’t stand this pain anymore... Just... Make it quick...,Agh! Não aguento mais essa dor..  Acabe... Logo com isso...,¡Ugh! No aguanto más este dolor... Solo... Hazlo rápido...,"Ah tá, vai, me dá mais uma, mas não exagera, tá?"
,,,,
ENDING2-1,This is X... ,Aqui é o X...,Aquí X...,"Aqui é o X, porra!"
ENDING2-2,The enemy... Has been dealt with.,A missão... foi concluída.,El enemigo... Ha sido eliminado.,"Terminei essa merda, quem tiver achando ruim, chupa um canavial de rola!"
ENDING2-3,I'm headed back now... ,Estou retornando agora... ,Ahora voy de regreso...,"X7 demake é o caralho, vão fazer vocês essa desgraça!"
ENDING2-4,Roger... ,Entendido... ,Entendido...,Parabéns por ter terminado essa caralha!
,,,,
ENDING3-1,I bet you've been thinking about what Lumine was saying a while ago...,Aposto que você está pensando no que Lumine falou agora a pouco...,This dialog has been cut.,
ENDING3-2,"""Awakening""... That's how Lumine described it.","""Despertar""... Foi como Lumine descreveu.",,
ENDING3-3,He said this was evolution... That they were acting on their own free will...,Ele disse que era evolução... Que eles escolheram agir como agiram...,,
ENDING3-4,If he's right... Then what are we doing...?,Se isso for verdade... Então o que é que estamos fazendo?,,
ENDING3-5,Don't let it get to you.,Não deixe isso lhe subir a cabeça.,,
ENDING3-6,Just becoming Sigma could hardly be called evolution.,Agir como Sigma mal dá pra ser chamado de evolução.,,
ENDING3-7,From what he said... Sigma won't be coming back.,"Se o que Lumine disse for verdade, Sigma não vai voltar.",,
